id,filepath,tags
0,../data/test/test-jpg/test_0.jpg,clear primary
1,../data/test/test-jpg/test_1.jpg,clear primary
2,../data/test/test-jpg/test_2.jpg,partly_cloudy primary
3,../data/test/test-jpg/test_3.jpg,clear primary
4,../data/test/test-jpg/test_4.jpg,partly_cloudy primary
5,../data/test/test-jpg/test_5.jpg,clear primary
6,../data/test/test-jpg/test_6.jpg,agriculture clear primary
7,../data/test/test-jpg/test_7.jpg,clear habitation primary road
8,../data/test/test-jpg/test_8.jpg,clear primary
9,../data/test/test-jpg/test_9.jpg,haze primary
10,../data/test/test-jpg/test_10.jpg,partly_cloudy primary water
11,../data/test/test-jpg/test_11.jpg,agriculture clear cultivation primary
12,../data/test/test-jpg/test_12.jpg,cloudy
13,../data/test/test-jpg/test_13.jpg,clear primary
14,../data/test/test-jpg/test_14.jpg,clear primary
15,../data/test/test-jpg/test_15.jpg,clear primary
16,../data/test/test-jpg/test_16.jpg,agriculture clear habitation primary road
17,../data/test/test-jpg/test_17.jpg,partly_cloudy primary
18,../data/test/test-jpg/test_18.jpg,clear primary
19,../data/test/test-jpg/test_19.jpg,clear primary road water
20,../data/test/test-jpg/test_20.jpg,agriculture clear primary water
21,../data/test/test-jpg/test_21.jpg,agriculture clear primary water
22,../data/test/test-jpg/test_22.jpg,agriculture clear habitation primary road
23,../data/test/test-jpg/test_23.jpg,cloudy
24,../data/test/test-jpg/test_24.jpg,agriculture partly_cloudy primary road
25,../data/test/test-jpg/test_25.jpg,clear primary
26,../data/test/test-jpg/test_26.jpg,agriculture clear primary road
27,../data/test/test-jpg/test_27.jpg,agriculture clear primary
28,../data/test/test-jpg/test_28.jpg,agriculture partly_cloudy primary road
29,../data/test/test-jpg/test_29.jpg,clear primary
30,../data/test/test-jpg/test_30.jpg,partly_cloudy primary
31,../data/test/test-jpg/test_31.jpg,cloudy
32,../data/test/test-jpg/test_32.jpg,clear primary
33,../data/test/test-jpg/test_33.jpg,agriculture clear primary
34,../data/test/test-jpg/test_34.jpg,cloudy
35,../data/test/test-jpg/test_35.jpg,clear primary
36,../data/test/test-jpg/test_36.jpg,clear primary
37,../data/test/test-jpg/test_37.jpg,clear primary
38,../data/test/test-jpg/test_38.jpg,clear primary
39,../data/test/test-jpg/test_39.jpg,clear primary water
40,../data/test/test-jpg/test_40.jpg,clear primary water
41,../data/test/test-jpg/test_41.jpg,partly_cloudy primary
42,../data/test/test-jpg/test_42.jpg,clear primary
43,../data/test/test-jpg/test_43.jpg,clear primary
44,../data/test/test-jpg/test_44.jpg,agriculture clear primary
45,../data/test/test-jpg/test_45.jpg,agriculture haze primary
46,../data/test/test-jpg/test_46.jpg,haze primary water
47,../data/test/test-jpg/test_47.jpg,clear primary
48,../data/test/test-jpg/test_48.jpg,clear primary
49,../data/test/test-jpg/test_49.jpg,agriculture clear primary road water
50,../data/test/test-jpg/test_50.jpg,clear primary
51,../data/test/test-jpg/test_51.jpg,agriculture clear primary water
52,../data/test/test-jpg/test_52.jpg,agriculture clear habitation primary road
53,../data/test/test-jpg/test_53.jpg,agriculture clear primary road water
54,../data/test/test-jpg/test_54.jpg,clear primary
55,../data/test/test-jpg/test_55.jpg,partly_cloudy primary
56,../data/test/test-jpg/test_56.jpg,clear primary
57,../data/test/test-jpg/test_57.jpg,clear primary road
58,../data/test/test-jpg/test_58.jpg,clear primary
59,../data/test/test-jpg/test_59.jpg,agriculture clear primary road water
60,../data/test/test-jpg/test_60.jpg,clear primary
61,../data/test/test-jpg/test_61.jpg,cloudy
62,../data/test/test-jpg/test_62.jpg,agriculture clear primary
63,../data/test/test-jpg/test_63.jpg,clear primary
64,../data/test/test-jpg/test_64.jpg,agriculture clear primary
65,../data/test/test-jpg/test_65.jpg,clear primary
66,../data/test/test-jpg/test_66.jpg,clear primary
67,../data/test/test-jpg/test_67.jpg,agriculture clear habitation primary road
68,../data/test/test-jpg/test_68.jpg,cloudy
69,../data/test/test-jpg/test_69.jpg,clear primary
70,../data/test/test-jpg/test_70.jpg,clear primary
71,../data/test/test-jpg/test_71.jpg,partly_cloudy primary
72,../data/test/test-jpg/test_72.jpg,clear primary
73,../data/test/test-jpg/test_73.jpg,agriculture partly_cloudy primary road water
74,../data/test/test-jpg/test_74.jpg,partly_cloudy primary
